label_variant,panel_id,system_id,stratum,episode_count,compatibility_note,metrics_calls_mean,metrics_calls_median,metrics_calls_n,metrics_calls_p90,metrics_calls_q1,metrics_calls_q3,metrics_completion_tokens_mean,metrics_completion_tokens_median,metrics_completion_tokens_n,metrics_completion_tokens_p90,metrics_completion_tokens_q1,metrics_completion_tokens_q3,metrics_latency_s_mean,metrics_latency_s_median,metrics_latency_s_n,metrics_latency_s_p90,metrics_latency_s_q1,metrics_latency_s_q3,metrics_prompt_tokens_mean,metrics_prompt_tokens_median,metrics_prompt_tokens_n,metrics_prompt_tokens_p90,metrics_prompt_tokens_q1,metrics_prompt_tokens_q3,metrics_tool_executions_mean,metrics_tool_executions_median,metrics_tool_executions_n,metrics_tool_executions_p90,metrics_tool_executions_q1,metrics_tool_executions_q3,metrics_total_tokens_mean,metrics_total_tokens_median,metrics_total_tokens_n,metrics_total_tokens_p90,metrics_total_tokens_q1,metrics_total_tokens_q3,registered_episodes,source_id
deterministic,mathrouter-standard,mathrouter,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,deep_reasoner
deterministic,mathrouter-standard,mathrouter,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,finalizer
deterministic,mathrouter-standard,mathrouter,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,hermes_reasoner
deterministic,mathrouter-standard,mathrouter,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,python_executor
deterministic,mathrouter-standard,mathrouter,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,recovery
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,deep_reasoner
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,finalizer
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,hermes_reasoner
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,python_executor
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,recovery
deterministic,icma-standard,icma,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,coordinator
deterministic,icma-standard,icma,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,python_executor
deterministic,icma-standard,icma,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,reasoner
deterministic,icma-standard,icma,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,validator
deterministic,icma-hard,icma,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,coordinator
deterministic,icma-hard,icma,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,python_executor
deterministic,icma-hard,icma,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,reasoner
deterministic,icma-hard,icma,hard_gt_5,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,1.0,1.0,25,1.0,1.0,1.0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,validator
deterministic,mathgoal-standard,mathgoal,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,candidate_role:algebra_solver
deterministic,mathgoal-standard,mathgoal,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,candidate_role:alternative
deterministic,mathgoal-standard,mathgoal,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,candidate_role:analysis_solver
deterministic,mathgoal-standard,mathgoal,standard,25,Cost is comparable across systems only when instrumentation units and budget conditions match.,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,25,candidate_role:analysis_solver:tool_corrected
