label_variant,panel_id,system_id,stratum,episode_count,episode_balanced_cells,episode_balanced_cells_a_correct_b_wrong,episode_balanced_cells_a_wrong_b_correct,episode_balanced_cells_both_correct,episode_balanced_cells_both_wrong,episodes_with_pairs,joint_error_probability_episode_balanced,minimum_complete_cases,pair_observations,pair_weighting_is_primary,phi_cluster_bootstrap_95_high,phi_cluster_bootstrap_95_low,phi_cluster_bootstrap_summary_conditioning,phi_cluster_bootstrap_summary_defined_fraction,phi_cluster_bootstrap_summary_defined_replicates,phi_cluster_bootstrap_summary_interval_status,phi_cluster_bootstrap_summary_nominal_coverage_established,phi_cluster_bootstrap_summary_percentile_range_defined_95_high,phi_cluster_bootstrap_summary_percentile_range_defined_95_low,phi_cluster_bootstrap_summary_quantiles_high,phi_cluster_bootstrap_summary_quantiles_low,phi_cluster_bootstrap_summary_requested_replicates,phi_cluster_bootstrap_summary_undefined_replicates,phi_episode_balanced,phi_pair_weighted_sensitivity,pooled_pair_cells_a_correct_b_wrong,pooled_pair_cells_a_wrong_b_correct,pooled_pair_cells_both_correct,pooled_pair_cells_both_wrong,precision_flag,provenance_relation,registered_episodes,source_type_a,source_type_b,unit_of_inference
deterministic,mathrouter-standard,mathrouter,standard,25,,0.18181818181818182,0.0,0.8181818181818182,0.0,11,0.0,20,11,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,2,0,9,0,imprecise,all,25,llm,llm,episode
deterministic,mathrouter-standard,mathrouter,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,same,25,llm,llm,episode
deterministic,mathrouter-standard,mathrouter,standard,25,,0.18181818181818182,0.0,0.8181818181818182,0.0,11,0.0,20,11,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,2,0,9,0,imprecise,different,25,llm,llm,episode
deterministic,mathrouter-standard,mathrouter,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,all,25,llm,python,episode
deterministic,mathrouter-standard,mathrouter,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,same,25,llm,python,episode
deterministic,mathrouter-standard,mathrouter,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,python,episode
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,all,25,llm,llm,episode
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,same,25,llm,llm,episode
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,llm,episode
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,all,25,llm,python,episode
